parent_original,parent_archive_url,parent_content_year,parent_issue_numbers,kind,media_original,archived_media_url,archived_media_digest
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/icon_orange.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/new_article.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/new_reply.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/news.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/notice.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/photo_title.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/reply_left.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/reply_right.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/subject_left.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/subject_right.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/top_num1.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/top_num2.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/top_num3.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/top_num4.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/top_num5.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/Skins/Default/images/top_num6.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/UploadFile/190/2006-6/20066216483893917.gif,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/UploadFile/190/2006-6/20066216535193330.jpg,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/UploadFile/190/2006-6/20066216535968595.jpg,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/UploadFile/190/2006-6/20066216544044370.jpg,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/UploadFile/190/2006-6/2006621655177900.jpg,,
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/Boke/UploadFile/190/2006-6/20066216571591124.jpg,,
http://www.qlsn.com/bbs/index.asp,https://web.archive.org/web/20061215124058id_/http://www.qlsn.com/bbs/index.asp,2006,,img,http://www.qlsn.com/bbs/Skins/Default/Forum_post.gif,,
http://www.qlsn.com/bbs/index.asp,https://web.archive.org/web/20061215124058id_/http://www.qlsn.com/bbs/index.asp,2006,,img,http://www.qlsn.com/bbs/Skins/Default/Forum_readme.gif,,
http://www.qlsn.com/bbs/index.asp,https://web.archive.org/web/20061215124058id_/http://www.qlsn.com/bbs/index.asp,2006,,img,http://www.qlsn.com/bbs/Skins/Default/Forum_today.gif,,
http://www.qlsn.com/bbs/index.asp,https://web.archive.org/web/20061215124058id_/http://www.qlsn.com/bbs/index.asp,2006,,img,http://www.qlsn.com/bbs/Skins/Default/forum_topic.gif,,
http://www.qlsn.com/bbs/index.asp,https://web.archive.org/web/20061215124058id_/http://www.qlsn.com/bbs/index.asp,2006,,img,http://www.qlsn.com/bbs/Skins/Default/lastpost.gif,,
http://www.qlsn.com/bbs/bokeindex.asp?show_topic.1.html,https://web.archive.org/web/20061216084307id_/http://www.qlsn.com/bbs/bokeindex.asp?show_topic.1.html,2006,,img,http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,https://web.archive.org/web/20061215123518id_/http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,USMBPCW7CEO6X5QEELBBDAS2UTXBUQIH
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,https://web.archive.org/web/20061215123518id_/http://www.qlsn.com/bbs/boke/Images/boke_logo.gif,USMBPCW7CEO6X5QEELBBDAS2UTXBUQIH
http://www.qlsn.com/bbs/bokeindex.asp,https://web.archive.org/web/20061213084233id_/http://www.qlsn.com/bbs/bokeindex.asp,2006,,img,http://www.qlsn.com/bbs/boke/images/index_img.gif,,
http://www.qlsn.com/bbs/index.asp,https://web.archive.org/web/20061215124058id_/http://www.qlsn.com/bbs/index.asp,2006,,img,http://www.qlsn.com/bbs/images/logo.gif,,
http://www.qlsn.com/bbs/index.asp,https://web.archive.org/web/20061215124058id_/http://www.qlsn.com/bbs/index.asp,2006,,img,http://www.qlsn.com/bbs/images/search/yisou.gif,,
http://www.qlsn.com/bbs/index.asp,https://web.archive.org/web/20061215124058id_/http://www.qlsn.com/bbs/index.asp,2006,,img,http://www.qlsn.com/bbs/skins/Default/ao.gif,,
